"reason"	"schemaname"	"tablename"	"indexname"	"index_scan_pct"	"scans_per_write"	"index_size"	"table_size"
"Never Used Indexes"	"public"	"reports_clean_20120806"	"reports_clean_20120806_sig_prod_date"	0.00	0.00	"205 MB"	"762 MB"
"Never Used Indexes"	"public"	"extensions_20140127"	"extensions_20140127_report_id_date_processed"	0.00	0.00	"205 MB"	"614 MB"
"Never Used Indexes"	"public"	"extensions_20140428"	"extensions_20140428_report_id_date_processed"	0.00	0.00	"205 MB"	"629 MB"
"Never Used Indexes"	"public"	"extensions_20140818"	"extensions_20140818_report_id_date_processed"	0.00	0.00	"202 MB"	"633 MB"
"Never Used Indexes"	"public"	"extensions_20140224"	"extensions_20140224_report_id_date_processed"	0.00	0.00	"202 MB"	"628 MB"
"Never Used Indexes"	"public"	"extensions_20140113"	"extensions_20140113_report_id_date_processed"	0.00	0.00	"202 MB"	"603 MB"
"Never Used Indexes"	"public"	"extensions_20140303"	"extensions_20140303_report_id_date_processed"	0.00	0.00	"200 MB"	"623 MB"
"Never Used Indexes"	"public"	"extensions_20140310"	"extensions_20140310_report_id_date_processed"	0.00	0.00	"200 MB"	"621 MB"
"Never Used Indexes"	"public"	"extensions_20140421"	"extensions_20140421_report_id_date_processed"	0.00	0.00	"199 MB"	"612 MB"
"Never Used Indexes"	"public"	"extensions_20140407"	"extensions_20140407_report_id_date_processed"	0.00	0.00	"198 MB"	"610 MB"
"Never Used Indexes"	"public"	"extensions_20140106"	"extensions_20140106_report_id_date_processed"	0.00	0.00	"197 MB"	"586 MB"
"Never Used Indexes"	"public"	"extensions_20140331"	"extensions_20140331_report_id_date_processed"	0.00	0.00	"196 MB"	"604 MB"
"Never Used Indexes"	"public"	"extensions_20140414"	"extensions_20140414_report_id_date_processed"	0.00	0.00	"194 MB"	"598 MB"
"Never Used Indexes"	"public"	"reports_clean_20121022"	"reports_clean_20121022_sig_prod_date"	0.00	0.00	"193 MB"	"788 MB"
"Never Used Indexes"	"public"	"reports_clean_20120702"	"reports_clean_20120702_sig_prod_date"	0.00	0.00	"190 MB"	"1120 MB"
"Never Used Indexes"	"public"	"reports_clean_20120618"	"reports_clean_20120618_sig_prod_date"	0.00	0.00	"187 MB"	"1066 MB"
"Never Used Indexes"	"public"	"extensions_20131223"	"extensions_20131223_report_id_date_processed"	0.00	0.00	"184 MB"	"548 MB"
"Never Used Indexes"	"public"	"extensions_20131230"	"extensions_20131230_report_id_date_processed"	0.00	0.00	"183 MB"	"545 MB"
"Never Used Indexes"	"public"	"reports_clean_20120917"	"reports_clean_20120917_sig_prod_date"	0.00	0.00	"181 MB"	"810 MB"
"Never Used Indexes"	"public"	"reports_clean_20130304"	"reports_clean_20130304_sig_prod_date"	0.00	0.00	"176 MB"	"679 MB"
"Never Used Indexes"	"public"	"reports_clean_20121001"	"reports_clean_20121001_product_version_id"	0.00	0.00	"176 MB"	"667 MB"
"Never Used Indexes"	"public"	"reports_clean_20120611"	"reports_clean_20120611_sig_prod_date"	0.00	0.00	"174 MB"	"993 MB"
"Never Used Indexes"	"public"	"reports_clean_20120723"	"reports_clean_20120723_sig_prod_date"	0.00	0.00	"173 MB"	"721 MB"
"Never Used Indexes"	"public"	"reports_clean_20120924"	"reports_clean_20120924_product_version_id"	0.00	0.00	"172 MB"	"679 MB"
"Never Used Indexes"	"public"	"reports_clean_20121105"	"reports_clean_20121105_product_version_id"	0.00	0.00	"169 MB"	"934 MB"
"Never Used Indexes"	"public"	"reports_clean_20130225"	"reports_clean_20130225_sig_prod_date"	0.00	0.00	"168 MB"	"739 MB"
"Never Used Indexes"	"public"	"reports_clean_20120730"	"reports_clean_20120730_sig_prod_date"	0.00	0.00	"167 MB"	"742 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_sig_prod_date"	0.00	0.00	"165 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20130204"	"reports_clean_20130204_sig_prod_date"	0.00	0.00	"165 MB"	"725 MB"
"Never Used Indexes"	"public"	"reports_clean_20131202"	"reports_clean_20131202_hang_id"	0.00	0.00	"164 MB"	"1001 MB"
"Never Used Indexes"	"public"	"reports_clean_20120709"	"reports_clean_20120709_sig_prod_date"	0.00	0.00	"162 MB"	"680 MB"
"Never Used Indexes"	"public"	"reports_clean_20121029"	"reports_clean_20121029_sig_prod_date"	0.00	0.00	"159 MB"	"772 MB"
"Never Used Indexes"	"public"	"reports_clean_20120716"	"reports_clean_20120716_sig_prod_date"	0.00	0.00	"158 MB"	"610 MB"
"Never Used Indexes"	"public"	"reports_clean_20120625"	"reports_clean_20120625_product_version_id"	0.00	0.00	"157 MB"	"1197 MB"
"Never Used Indexes"	"public"	"reports_clean_20120416"	"reports_clean_20120416_sig_prod_date"	0.00	0.00	"152 MB"	"789 MB"
"Never Used Indexes"	"public"	"reports_clean_20121008"	"reports_clean_20121008_sig_prod_date"	0.00	0.00	"151 MB"	"623 MB"
"Never Used Indexes"	"public"	"reports_clean_20130114"	"reports_clean_20130114_product_version_id"	0.00	0.00	"149 MB"	"645 MB"
"Never Used Indexes"	"public"	"reports_clean_20120910"	"reports_clean_20120910_sig_prod_date"	0.00	0.00	"149 MB"	"652 MB"
"Never Used Indexes"	"public"	"reports_20131125"	"reports_20131125_reason"	0.00	0.00	"148 MB"	"2667 MB"
"Never Used Indexes"	"public"	"correlations_addon"	"ix_correlations_addon_signature_id"	0.00	0.00	"147 MB"	"510 MB"
"Never Used Indexes"	"public"	"reports_clean_20120416"	"reports_clean_20120416_hang_id"	0.00	0.00	"146 MB"	"789 MB"
"Never Used Indexes"	"public"	"reports_clean_20121022"	"reports_clean_20121022_product_version_id"	0.00	0.00	"146 MB"	"788 MB"
"Never Used Indexes"	"public"	"reports_clean_20120702"	"reports_clean_20120702_product_version_id"	0.00	0.00	"146 MB"	"1120 MB"
